,category,sub_category,sub_sub_category,gender
0,clothing,tops,None,mens
1,sports & outdoors,team shop,team clothing,unisex
2,sports & outdoors,team shop,team clothing,unisex
3,clothing,sweaters,None,womens
5,sports & outdoors,team shop,team clothing,unisex
6,sports & outdoors,team shop,team clothing,unisex
7,sports & outdoors,team shop,team clothing,unisex
8,clothing,pants,None,womens
10,clothing,tops,t-shirts,mens
11,clothing,activewear,active tops,womens
12,kids & baby,boys clothing,boys pants & shorts,boys
13,clothing,skirts,None,womens
14,sports & outdoors,team shop,team accessories,None
17,,None,None,unisex
18,sports & outdoors,team shop,team clothing,unisex
19,clothing,shorts,None,mens
20,sports & outdoors,team shop,team clothing,unisex
21,sports & outdoors,team shop,team clothing,None
22,clothing,denim,None,womens
23,sports & outdoors,team shop,team clothing,unisex
24,sports & outdoors,team shop,team accessories,unisex
25,clothing,dresses,cocktail dresses,womens
26,sports & outdoors,team shop,team accessories,None
27,,None,None,None
28,clothing,tops,None,womens
30,sports & outdoors,team shop,team clothing,unisex
31,,None,None,unisex
32,clothing,tops,polo shirts,mens
33,sports & outdoors,team shop,team clothing,unisex
34,clothing,pants,None,womens
35,,None,None,None
37,sports & outdoors,team shop,team clothing,unisex
38,sports & outdoors,team shop,team clothing,unisex
39,,None,None,unisex
40,accessories,hats,None,mens
42,sports & outdoors,team shop,team clothing,unisex
43,,None,None,None
44,,None,None,unisex
45,sports & outdoors,team shop,team clothing,unisex
46,sports & outdoors,team shop,team clothing,None
47,sports & outdoors,team shop,team clothing,unisex
48,clothing,sweaters,None,womens
49,clothing,denim,None,womens
50,sports & outdoors,team shop,team clothing,unisex
52,sports & outdoors,team shop,team accessories,unisex
53,,None,None,None
54,,None,None,None
55,clothing,denim,None,mens
56,,None,None,None
57,sports & outdoors,team shop,None,unisex
58,sports & outdoors,team shop,team clothing,unisex
59,kids & baby,boys clothing,boys swimwear,boys
60,sports & outdoors,team shop,team clothing,unisex
61,kids & baby,girls clothing,girls shirts & tops,girls
63,,None,None,None
64,,None,None,None
65,sports & outdoors,team shop,team clothing,unisex
66,,None,None,mens
67,sports & outdoors,team shop,team clothing,None
68,,None,None,womens
69,clothing,outerwear,None,womens
70,sports & outdoors,team shop,team clothing,unisex
71,,None,None,None
72,sports & outdoors,team shop,team clothing,unisex
75,sports & outdoors,team shop,team clothing,None
76,,None,None,unisex
77,clothing,underwear & intimates,underwear,womens
78,shoes,sandals,None,womens
80,,None,None,None
81,clothing,dresses,None,womens
82,kids & baby,boys clothing,None,baby & toddler
83,,None,None,None
84,sports & outdoors,team shop,team clothing,unisex
85,sports & outdoors,team shop,team clothing,unisex
86,sports & outdoors,team shop,team accessories,unisex
87,clothing,dresses,wear-to-work dresses,womens
88,sports & outdoors,team shop,team clothing,unisex
89,clothing,pants,None,womens
90,clothing,swimwear,swim bottoms,womens
91,,None,None,None
92,sports & outdoors,team shop,team clothing,unisex
93,sports & outdoors,team shop,team shoes,None
94,sports & outdoors,team shop,team clothing,unisex
95,accessories,jewelry,None,unisex
96,,None,None,None
97,accessories,jewelry,necklaces,mens
98,,None,None,None
99,sports & outdoors,team shop,team clothing,unisex
100,sports & outdoors,team shop,team clothing,unisex
101,sports & outdoors,team shop,team clothing,None
102,clothing,None,None,womens
103,,None,None,None
104,clothing,tops,None,womens
106,sports & outdoors,team shop,team clothing,unisex
107,sports & outdoors,team shop,team home & pet,None
108,sports & outdoors,team shop,team clothing,None
109,clothing,pants,None,mens
110,sports & outdoors,team shop,team home & pet,None
111,sports & outdoors,team shop,team clothing,None
113,shoes,boots,None,mens
115,,None,None,unisex
116,accessories,handbags,satchels,None
117,,None,None,unisex
118,clothing,outerwear,None,mens
119,sports & outdoors,team shop,team accessories,unisex
120,sports & outdoors,team shop,team shoes,None
121,sports & outdoors,adventure sports,winter sports,None
122,clothing,denim,None,womens
123,sports & outdoors,team shop,team clothing,unisex
125,clothing,denim,None,womens
126,sports & outdoors,team shop,team clothing,unisex
127,sports & outdoors,team shop,team clothing,unisex
128,sports & outdoors,team shop,team clothing,None
129,clothing,outerwear,blazers,mens
130,kids & baby,boys clothing,boys sweaters,boys
131,clothing,shorts,None,womens
132,clothing,pants,dress pants,mens
133,sports & outdoors,team shop,team clothing,unisex
136,shoes,boots,rain boots,womens
137,kids & baby,girls clothing,None,girls
138,sports & outdoors,team shop,team clothing,None
139,sports & outdoors,team shop,team clothing,unisex
140,clothing,activewear,active pants,womens
141,,None,None,unisex
142,clothing,tops,dress shirts,mens
143,,None,None,None
144,sports & outdoors,team shop,team clothing,None
145,shoes,sandals,None,womens
146,shoes,sandals,None,womens
147,,None,None,unisex
150,accessories,jewelry,bracelets,unisex
151,clothing,tops,polo shirts,mens
152,,None,None,boys
153,,None,None,None
155,,None,None,None
156,sports & outdoors,team shop,team clothing,unisex
157,home & pet,home decor,decorative accents,None
158,,None,None,unisex
159,clothing,tops,None,mens
160,shoes,None,None,womens
161,sports & outdoors,team shop,team accessories,unisex
162,accessories,socks & hosiery,socks,mens
163,sports & outdoors,team shop,team accessories,unisex
164,sports & outdoors,team shop,team clothing,unisex
165,clothing,outerwear,None,womens
166,sports & outdoors,team shop,team clothing,unisex
167,sports & outdoors,team shop,team clothing,unisex
168,clothing,underwear & intimates,underwear,mens
170,clothing,tops,None,womens
171,,None,None,None
172,sports & outdoors,team shop,team clothing,unisex
173,sports & outdoors,team shop,team accessories,unisex
174,kids & baby,boys clothing,boys shirts & tops,baby & toddler
175,,None,None,unisex
