,category,sub_category,sub_sub_category,title,description,gender
0,clothing,tops,None,,Featured in navy oxford    Button down point collar     Long sleeves     Button down front     One chest pocket     Oxford design     Woven     Cotton     Imported,mens
1,sports & outdoors,team shop,team clothing,Miami Hurricanes adidas 2016 Football Coaches climalite Quarter-Zip Jacket - Green,"Every time you step on to the field, you turn into a lean, mean training machine. Work out in style with this light Miami Hurricanes Football Coaches quarter-zip jacket from adidas. The vibrant embroidered graphics will make you feel like you're training with the team whenever you're on the field. Its climalite technology will keep you cool and comfortable while you're repping the Miami Hurricanes. Look and feel like a champ in this one-of-a-kind Miami Hurricanes jacket!",unisex
2,sports & outdoors,team shop,team clothing,New Era Philadelphia Phillies Red Stencil Box Tee,"How to stencil a T-shirt? Print the stencil, cut it out, stick it to a shirt, put something between to stop any leakage, paint it, then wait to dryor in one easy step, you can pick up this original Philadelphia Phillies Stencil Box tee from New Era and rock it to the next game!  This imaginative crew neck tee features creative Philadelphia Phillies graphics on a lightweight, breathable, low maintenance tee. Now you can finally get to the game in style wearing this Philadelphia Phillies Stencil Box tee from New Era.",unisex
3,clothing,sweaters,None,Saks Fifth Avenue Collection Cashmere Crewneck Sweater,"""EXCLUSIVELY OURS  Essential plush cashmere crewneck sweater  Crewneck  Long sleeves  Ribbed at neck, cuffs and hem  Split sides  Back ribbed detail  Pullover style  About 25"""" from shoulder to hem  Cashmere  Dry clean  Imported  Model shown is 5'10"""" (177cm) wearing US size Small""",womens
5,sports & outdoors,team shop,team clothing,Men's Kansas City Royals Stitches Black/Camo Pullover Hoodie,Proudly put your allegiance to the Kansas City Royals on display when you wear this hoodie from Stitches. It'll be obvious that you're a member of the force that supports the Kansas City Royals with this pullover's sharp graphics and allover camouflage print.,unisex
6,sports & outdoors,team shop,team clothing,Chicago Blackhawks Women's Pond Hockey Pullover Hoodie - Black,"Sure you can go around and tell everyone how dedicated you are to the Chicago Blackhawks, but there is a much easier way to get your point across. Let everyone you pass know that you are a born and bred Chicago Blackhawks fan with this Pond Hockey hoodie! This hoodie boasts your team pride with Chicago Blackhawks graphics. There are many ways to show your team spirit, but this way you won't lose your voice.",unisex
7,sports & outdoors,team shop,team clothing,Stadium Athletic Yale Bulldogs Navy Arch & Logo Pullover Hoodie,Is your flawless fashion sense something that you can maintain in all weather and seasons? Now as that fun summer heat starts to disappear you can make sure your sharp wardrobes does not go with it. This Stadium Athletic Yale Bulldogs Arch & Logo pullover hoodie is the perfect way to feel warm and comfortable while you get the attention of everyone you pass. The classic Yale Bulldogs embroidered graphics on this cozy hoodie will definitely make you stand out from all your friends the next time you go out on the town.,unisex
8,clothing,pants,None,A. Byer Straight Leg Pants,"""Featured in black     Wide waistband     Two front pockets     Low rise     Relaxed fit     18"""" bootcut leg opening     Polyester/rayon/spandex     Imported""",womens
10,clothing,tops,t-shirts,"Orlebar Brown Donald Waffle Cotton Polo Shirt, White/Navy","""Orlebar Brown """"Donald"""" shirt in waffle knit with contrast pajama-style piping details. Revere/capri collar. Short sleeves. Chest patch pocket. Uneven, vented hem. Pullover style. Slim fit. Cotton. Imported of Italian material.""",mens
11,clothing,activewear,active tops,Women's UA Twist Tech V-Neck,"Super-soft UA Tech fabric delivers incredible all-day comfort.  Signature Moisture Transport System wicks sweat to keep you dry & light.  Lightweight stretch construction improves mobility for full range of motion.  Anti-odor technology keeps your gear fresher, longer.  Deep V-neck collar & slimmer fit deliver a sleek, more feminine silhouette.  Allover twist effect.  Metallic silver front chest logo.",womens
12,kids & baby,boys clothing,boys pants & shorts,Boys' UA Challenger Woven Shorts,"Smooth, stretch-woven fabric is ultra-lightweight & lets you move.  Moisture Transport System wicks sweat & dries fast.  Covered elastic waistband with internal drawcord.  Inseam: YMD 7'' (+-- 1'' per size).",boys
13,clothing,skirts,None,,Add some feminine flair to your look with this floral printed skirt from Eliza J that features a high low hem.    Polyester    Traditional waistband    Pleated    Allover floral print    High low hem    Imported,womens
14,sports & outdoors,team shop,team accessories,New Era Tampa Bay Buccaneers Graphite/Camo Salute To Service Sideline Low Profile Fitted Hat,"There's no better way to embrace your fandom for the Tampa Bay Buccaneers than with this Salute To Service Sideline Low Profile 59FIFTY fitted hat from New Era!    100% of the NFL's proceeds from Salute to Service products are donated to three non-profit organizations (USO, Pat Tillman Foundation and Wounded Warrior Project). For further information, please visit www.nfl.com/salute",None
17,,None,None,,"Complete your supportive, sleek style with this fusion skyline balconette bra from DKNY that features a dot pattern trim.    Featured in black    Underwire    Balconette style bra    Adjustable elastic straps    Hook and eye rear closure    Style no. DK2015    Hand wash    Nylon / spandex    Imported",unisex
18,sports & outdoors,team shop,team clothing,Fanatics Branded Arizona State Sun Devils Kelly Green St. Patrick's Day White Logo Pullover Hoodie,"Get the perfect look to let everyone know you are a stylish Arizona State Sun Devils fan! With eye-catching team graphics, this Fanatics Branded St. Patrick's Day hoodie will show everyone that you know how to display your team spirit in style. With a comfy hoodie and that classic look you love, you'll be ready to head anywhere and know that you look your best.",unisex
19,clothing,shorts,None,PLAC Jersey Lounge Shorts,"""Relaxed fit lounge shorts in a ribbed texture  Elasticized waistband with drawstring   Slash pockets  Back patch pocket  Rise, about 11""""  Inseam, about 9""""  Acrylic/wool/nylon/spandex  Dry clean  Made in USA""",mens
20,sports & outdoors,team shop,team clothing,Charlotte Hornets Fanatics Branded Women's Personalized Backer Pullover Hoodie - Ash,"Sure you can go around and tell everyone how dedicated you are to the Charlotte Hornets, but there is a much easier way to get your point across. Let everyone you pass know that you are a born and bred Charlotte Hornets fan with this Fanatics Branded Personalized Backer hoodie! This hoodie boasts your team pride with Charlotte Hornets graphics and the name and number of your choice. There are many ways to show your team spirit, but this way you won't lose your voice.",unisex
21,sports & outdoors,team shop,team clothing,UTEP Miners Navy Personalized Football Pullover Hoodie,"Get the perfect look to let everyone know you are a stylish UTEP Miners fan! With eye-catching team graphics, this Personalized Football hoodie will show everyone that you know how to display your team spirit in style. It features team graphics and the name and number of your choice. With a comfy hoodie and that classic look you love, you'll be ready to head anywhere and know that you look your best.",None
22,clothing,denim,None,,"Exclusively ours! Sleek and stylish, these denim pants from Laura Ashley feature a classic fit with a bootcut leg and studded details on the back pockets making them perfect for any number of occasions.    Featured in black     Five pocket design     Button and zip closure     Belt loops at waist     Studded details at back pockets     Superior stretch denim     Bootcut leg     Cotton/spandex     Imported",womens
23,sports & outdoors,team shop,team clothing,Seattle Seahawks Mitchell & Ness Unbeaten Three-Quarter Raglan Sleeve Shirt - Royal/Green,"You've always been a gigantic Seattle Seahawks fan and have always stuck by them no matter what. Now when you want to show off your die-hard fandom, you can perfectly when you get this Seattle Seahawks Unbeaten three-quarter raglan sleeve shirt from Mitchell & Ness. This tee features exciting Seattle Seahawks graphics so no matter where you are, you'll be able to show off your enthusiasm.",unisex
24,sports & outdoors,team shop,team accessories,New Era Pittsburgh Pirates Gold/Black Alt On Field Diamond Era 59FIFTY Fitted Hat,Top off your outfit with this special Pittsburgh Pirates On Field Diamond Era 59FIFTY fitted hat from New Era! Nothing says style quite like an authentic hat. Put everyone on notice with this hat which features unique Pittsburgh Pirates-inspired graphics.It also features COOLERA technology that wicks away moisture to keep you cool and dry and SOLARERA technology that blocks UV rays.,unisex
25,clothing,dresses,cocktail dresses,,"Detailed with an art deco inspired beaded design, this cocktail dress from Adrianna Papell is sure to catch the eye.    Featured in icy lily    Scoop neck    Sleeveless    Beaded embellishments    Cocktail length    Hidden back zipper    Lined    Polyester / spandex    Imported",womens
26,sports & outdoors,team shop,team accessories,St. Louis Cardinals New Era Country Colors Redux 59FIFTY Fitted Hat - Navy,Get your head in the game with this St. Louis Cardinals Country Colors Redux 59FIFTY fitted hat from New Era! The embroidered St. Louis Cardinals graphics will put your die-hard fandom on notice. No one will mistake your enthusiastic St. Louis Cardinals pride when you don this spirited cap!,None
27,,None,None,,The Tarence Dress Sport Wedges by Anne Klein feature an elasticized criss-cross vamp design.     Featured in black     Dress sport wedge     3.15'' heel height     Round closed toe     AK Sport logo at back counter     Matte stretch upper with elasticized criss-cross topline/instep     Cushioning for comfort     Matte stretch / patent PU /elastic upper,None
28,clothing,tops,None,Three Seasons Maternity Short Sleeve Open Shoulder Lace Yoke Top,,womens
30,sports & outdoors,team shop,team clothing,Villanova Wildcats Women's Navy Auxiliary Logo Tri-Blend V-Neck T-Shirt,"Get the perfect look to let everyone know you are a stylish Villanova Wildcats fan! With eye-catching graphics, this sweet Auxiliary T-shirt will show everyone that you know how to display your spirit in style. With a comfy tee and that classic look you love, you'll be ready to head anywhere and know that you look your best.",unisex
31,,None,None,Mountain Khakis Canyon Cord Skinny Pant,"The leaves are turning, Fall has arrived, and that means your Canyon Cords are back in action! Your season just got better. A favorite style among the women and fans of MK.",unisex
32,clothing,tops,polo shirts,,"With moisture wicking and UV protection, this Nautica performance polo shirt is basically a game changer in your closet (meaning: it's not just for sports anymore).    Cotton / polyester    Spread collar    Two button placket    Short sleeves    Machine washable    Slim styling for a modern fit    Imported",mens
